company,name,year,TA,size,liquid_ratio,Operating_Expense_Ratio,Cash_Flow_Ratio,GDP,PAC,underwriting_revenue,brokerage_revenue,netprofit_growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2856,元富證券,2009,58804389,18,130.28,47.27,23.12,-1.61,0,134617,3031206,182.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000102,合作金庫證券,2009,8303694,16,,,,10.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000025,基富通證券,2009,,,,,,10.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2854,寶來證券,2009,,,145.55,66.36,10.3,10.25,7,219684,4949586,179.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6024,群益期貨,2009,86365769,18,119.53,35.15,0.69,10.25,0,0,825529,21.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
026000,富邦期貨,2009,7122237,16,115.94,38.25,0.5,10.25,0,0,390053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31872,元大期貨,2009,12532402,16,119.66,33.12,4.17,10.25,0,0,1080845,48.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5869,元富期貨,2009,5122297,15,121.86,28.24,2.59,10.25,0,0,493200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000980,元大證券,2010,127785814,19,160.25,64.97,9.04,10.25,0,763416,8420252,3.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6008,凱基證券,2010,180899108,19,135.04,65.99,9.3,10.25,0,509590,9961629,46.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6016,康和證券,2010,23319385,17,135.23,76.29,13.5,10.25,0,4023,1398186,67.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000960,富邦證券,2010,65626753,18,181,68,0.03,10.25,0,170476,4493399,11.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000884,玉山證券,2010,7767815,16,161.72,67.44,31.91,10.25,0,2822,668947,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000616,中信證券,2010,8729884,16,307.85,69.29,1.91,10.25,0,205297,298062,79.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6005,群益證券,2010,81289597,18,146.25,56.38,0.92,10.25,0,433219,3883160,34.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000815,台新證券,2010,2622167,15,"6,578.79",80.34,"3,279.85",10.25,0,69747,22997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000116,日盛證券,2010,44949492,18,181.8,55.67,14.11,,0,73896,3592099,30.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000888,國泰證券,2010,8044409,16,194.66,74.62,3.33,,0,53176,463222,31.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000930,華南永昌證券,2010,27686865,17,149.76,66.31,7.43,10.25,0,46522,2082752,23.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0009A0,永豐金證券,2010,74605816,18,134.28,62.2,10.75,10.25,2,256283,3787677,25.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000885,鑫豐證券,2010,315891,13,532.62,105.12,64.64,10.25,1,399,62220,8.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000779,國票證券,2010,32071198,17,140.89,74.18,20.71,10.25,0,26914,1825574,27.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2856,元富證券,2010,85213141,18,121.3,61.06,2.88,3.67,0,200398,3028844,3.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000102,合作金庫證券,2010,,,,,,3.67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000025,基富通證券,2010,,,,,,3.67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2854,寶來證券,2010,86037661,18,146.81,47.53,9.19,3.67,7,339915,4830802,37.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6024,群益期貨,2010,7691176,16,123.41,37.38,4.78,3.67,0,0,895675,4.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
026000,富邦期貨,2010,6320262,16,119.26,43.88,1.25,3.67,0,0,448880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31872,元大期貨,2010,14265324,16,117.03,38.33,3.92,3.67,0,0,1031065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5869,元富期貨,2010,5748417,16,121.73,31.29,1.49,3.67,2,0,485376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000980,元大證券,2011,124396626,19,190.7,71.1,44.44,3.67,0,530861,7140452,128.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6008,凱基證券,2011,143620164,19,119.09,82.64,19.26,3.67,0,480365,8160342,35.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
